1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.1000","0.0023","0.0000"
"","0.2000","0.0140","0.0000"
"","0.3000","0.0249","0.0000"
"","0.4000","0.0350","0.0000"
"","0.5000","0.0447","0.0000"
"","0.6000","0.0550","0.0000"
"","0.7000","0.0651","0.0000"
"","0.8000","0.0750","0.0000"
"","0.9000","0.0849","0.0001"
"","1.0000","0.0951","0.0001"
"","1.1000","0.1051","0.0001"
"","1.2000","0.1147","0.0001"
"","1.3000","0.1249","0.0001"
"","1.4000","0.1350","0.0001"
"","1.5000","0.1450","0.0001"
"","1.6000","0.1549","0.0001"
"","1.7000","0.1649","0.0001"
"","1.8000","0.1750","0.0001"
"","1.9000","0.1849","0.0001"
"","2.0000","0.1950","0.0001"
"","2.1000","0.2049","0.0001"
"","2.2000","0.2149","0.0001"
"","2.3000","0.2249","0.0002"
"","2.4000","0.2350","0.0002"
"","2.5000","0.2450","0.0002"
"","2.6000","0.2548","0.0002"
"","2.7000","0.2652","0.0002"
"","2.8000","0.2751","0.0002"
"","2.9000","0.2850","0.0002"
"","3.0000","0.2947","0.0002"
"","3.1000","0.3051","0.0002"
"","3.2000","0.3151","0.0002"
"","3.3000","0.3249","0.0003"
"","3.4000","0.3350","0.0003"
"","3.5000","0.3451","0.0003"
"","3.6000","0.3551","0.0003"
"","3.7000","0.3646","0.0003"
"","3.8000","0.3750","0.0003"
"","3.9000","0.3850","0.0003"
"","4.0000","0.3951","0.0004"
"","4.1000","0.4049","0.0004"
"","4.2000","0.4150","0.0004"
"","4.3000","0.4250","0.0004"
"","4.4000","0.4349","0.0004"
"","4.5000","0.4450","0.0004"
"","4.6000","0.4550","0.0005"
"","4.7000","0.4650","0.0005"
"","4.8000","0.4749","0.0005"
"","4.9000","0.4850","0.0005"
"","5.0000","0.4950","0.0005"
"","5.1000","0.5048","0.0006"
"","5.2000","0.5151","0.0006"
"","5.3000","0.5251","0.0006"
"","5.4000","0.5350","0.0006"
"","5.5000","0.5447","0.0006"
"","5.6000","0.5550","0.0007"
"","5.7000","0.5650","0.0007"
"","5.8000","0.5749","0.0007"
"","5.9000","0.5849","0.0007"
"","6.0000","0.5951","0.0008"
"","6.1000","0.6051","0.0008"
"","6.2000","0.6147","0.0008"
"","6.3000","0.6249","0.0008"
"","6.4000","0.6350","0.0009"
"","6.5000","0.6451","0.0009"
"","6.6000","0.6549","0.0009"
"","6.7000","0.6650","0.0009"
"","6.8000","0.6750","0.0009"
"","6.9000","0.6848","0.0010"
"","7.0000","0.6949","0.0010"
"","7.1000","0.7050","0.0010"
"","7.2000","0.7150","0.0010"
"","7.3000","0.7249","0.0011"
"","7.4000","0.7350","0.0011"
"","7.5000","0.7450","0.0011"
"","7.6000","0.7548","0.0011"
"","7.7000","0.7650","0.0012"
"","7.8000","0.7751","0.0012"
"","7.9000","0.7850","0.0012"
"","8.0000","0.7947","0.0012"
"","8.1000","0.8050","0.0013"
"","8.2000","0.8151","0.0013"
"","8.3000","0.8249","0.0013"
"","8.4000","0.8349","0.0013"
"","8.5000","0.8451","0.0014"
"","8.6000","0.8552","0.0014"
"","8.7000","0.8647","0.0014"
"","8.8000","0.8749","0.0015"
"","8.9000","0.8850","0.0015"
"","9.0000","0.8951","0.0015"
"","9.1000","0.9049","0.0015"
"","9.2000","0.9150","0.0016"
"","9.3000","0.9251","0.0016"
"","9.4000","0.9349","0.0016"
"","9.5000","0.9449","0.0017"
"","9.6000","0.9549","0.0017"
"","9.7000","0.9649","0.0017"
"","9.8000","0.9749","0.0018"
"","9.9000","0.9850","0.0018"
"","10.0000","0.9951","0.0018"
"","10.1000","1.0048","0.0018"
"","10.2000","1.0151","0.0019"
"","10.3000","1.0250","0.0019"
"","10.4000","1.0350","0.0019"
"","10.5000","1.0447","0.0020"
"","10.6000","1.0551","0.0020"
"","10.7000","1.0650","0.0020"
"","10.8000","1.0749","0.0021"
"","10.9000","1.0850","0.0021"
