1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.1000","0.0033","0.0000"
"","0.2000","0.0114","0.0000"
"","0.3000","0.0232","0.0000"
"","0.4000","0.0333","0.0000"
"","0.5000","0.0436","0.0000"
"","0.6000","0.0534","0.0000"
"","0.7000","0.0634","0.0000"
"","0.8000","0.0732","0.0000"
"","0.9000","0.0837","0.0001"
"","1.0000","0.0935","0.0001"
"","1.1000","0.1034","0.0001"
"","1.2000","0.1134","0.0001"
"","1.3000","0.1237","0.0001"
"","1.4000","0.1336","0.0001"
"","1.5000","0.1432","0.0001"
"","1.6000","0.1536","0.0001"
"","1.7000","0.1636","0.0001"
"","1.8000","0.1735","0.0001"
"","1.9000","0.1833","0.0001"
"","2.0000","0.1936","0.0001"
"","2.1000","0.2037","0.0001"
"","2.2000","0.2134","0.0002"
"","2.3000","0.2235","0.0002"
"","2.4000","0.2335","0.0002"
"","2.5000","0.2436","0.0002"
"","2.6000","0.2534","0.0002"
"","2.7000","0.2636","0.0002"
"","2.8000","0.2735","0.0002"
"","2.9000","0.2834","0.0002"
"","3.0000","0.2936","0.0003"
"","3.1000","0.3035","0.0003"
"","3.2000","0.3135","0.0003"
"","3.3000","0.3232","0.0003"
"","3.4000","0.3337","0.0003"
"","3.5000","0.3435","0.0003"
"","3.6000","0.3534","0.0004"
"","3.7000","0.3633","0.0004"
"","3.8000","0.3736","0.0004"
"","3.9000","0.3836","0.0004"
"","4.0000","0.3932","0.0004"
"","4.1000","0.4035","0.0004"
"","4.2000","0.4136","0.0005"
"","4.3000","0.4235","0.0005"
"","4.4000","0.4333","0.0005"
"","4.5000","0.4435","0.0005"
"","4.6000","0.4537","0.0005"
"","4.7000","0.4634","0.0005"
"","4.8000","0.4734","0.0006"
"","4.9000","0.4835","0.0006"
"","5.0000","0.4935","0.0006"
"","5.1000","0.5033","0.0006"
"","5.2000","0.5134","0.0007"
"","5.3000","0.5234","0.0007"
"","5.4000","0.5333","0.0007"
"","5.5000","0.5436","0.0007"
"","5.6000","0.5535","0.0007"
"","5.7000","0.5635","0.0008"
"","5.8000","0.5732","0.0008"
"","5.9000","0.5836","0.0008"
"","6.0000","0.5935","0.0008"
"","6.1000","0.6034","0.0009"
"","6.2000","0.6134","0.0009"
"","6.3000","0.6236","0.0009"
"","6.4000","0.6336","0.0009"
"","6.5000","0.6433","0.0010"
"","6.6000","0.6535","0.0010"
"","6.7000","0.6636","0.0010"
"","6.8000","0.6735","0.0010"
"","6.9000","0.6832","0.0011"
"","7.0000","0.6934","0.0011"
"","7.1000","0.7037","0.0011"
"","7.2000","0.7135","0.0011"
"","7.3000","0.7235","0.0012"
"","7.4000","0.7335","0.0012"
"","7.5000","0.7436","0.0012"
"","7.6000","0.7534","0.0013"
"","7.7000","0.7634","0.0013"
"","7.8000","0.7735","0.0013"
"","7.9000","0.7834","0.0014"
"","8.0000","0.7936","0.0014"
"","8.1000","0.8035","0.0014"
"","8.2000","0.8135","0.0015"
"","8.3000","0.8233","0.0015"
"","8.4000","0.8337","0.0015"
"","8.5000","0.8435","0.0016"
"","8.6000","0.8534","0.0016"
"","8.7000","0.8634","0.0017"
"","8.8000","0.8736","0.0017"
"","8.9000","0.8836","0.0018"
"","9.0000","0.8932","0.0018"
"","9.1000","0.9035","0.0018"
"","9.2000","0.9136","0.0019"
"","9.3000","0.9236","0.0019"
"","9.4000","0.9333","0.0020"
"","9.5000","0.9435","0.0020"
"","9.6000","0.9536","0.0021"
"","9.7000","0.9634","0.0021"
"","9.8000","0.9736","0.0022"
"","9.9000","0.9835","0.0023"
"","10.0000","0.9936","0.0023"
"","10.1000","1.0033","0.0024"
"","10.2000","1.0136","0.0024"
"","10.3000","1.0235","0.0025"
"","10.4000","1.0334","0.0025"
"","10.5000","1.0436","0.0026"
"","10.6000","1.0536","0.0027"
"","10.7000","1.0635","0.0027"
"","10.8000","1.0732","0.0028"
"","10.9000","1.0836","0.0028"
