1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.1000","0.0029","0.0000"
"","0.2000","0.0106","0.0000"
"","0.3000","0.0228","0.0000"
"","0.4000","0.0331","0.0000"
"","0.5000","0.0431","0.0000"
"","0.6000","0.0528","0.0001"
"","0.7000","0.0631","0.0001"
"","0.8000","0.0731","0.0001"
"","0.9000","0.0829","0.0001"
"","1.0000","0.0930","0.0001"
"","1.1000","0.1032","0.0001"
"","1.2000","0.1132","0.0001"
"","1.3000","0.1227","0.0001"
"","1.4000","0.1330","0.0001"
"","1.5000","0.1431","0.0001"
"","1.6000","0.1531","0.0001"
"","1.7000","0.1629","0.0001"
"","1.8000","0.1730","0.0001"
"","1.9000","0.1831","0.0001"
"","2.0000","0.1928","0.0002"
"","2.1000","0.2030","0.0001"
"","2.2000","0.2130","0.0002"
"","2.3000","0.2231","0.0002"
"","2.4000","0.2330","0.0002"
"","2.5000","0.2431","0.0002"
"","2.6000","0.2530","0.0002"
"","2.7000","0.2629","0.0002"
"","2.8000","0.2731","0.0002"
"","2.9000","0.2831","0.0002"
"","3.0000","0.2931","0.0002"
"","3.1000","0.3028","0.0002"
"","3.2000","0.3132","0.0002"
"","3.3000","0.3231","0.0002"
"","3.4000","0.3329","0.0002"
"","3.5000","0.3430","0.0002"
"","3.6000","0.3532","0.0002"
"","3.7000","0.3632","0.0003"
"","3.8000","0.3727","0.0003"
"","3.9000","0.3830","0.0003"
"","4.0000","0.3931","0.0003"
"","4.1000","0.4032","0.0003"
"","4.2000","0.4129","0.0003"
"","4.3000","0.4230","0.0003"
"","4.4000","0.4331","0.0003"
"","4.5000","0.4430","0.0003"
"","4.6000","0.4531","0.0003"
"","4.7000","0.4630","0.0004"
"","4.8000","0.4730","0.0004"
"","4.9000","0.4829","0.0004"
"","5.0000","0.4931","0.0004"
"","5.1000","0.5031","0.0004"
"","5.2000","0.5129","0.0004"
"","5.3000","0.5232","0.0004"
"","5.4000","0.5331","0.0004"
"","5.5000","0.5431","0.0005"
"","5.6000","0.5528","0.0005"
"","5.7000","0.5631","0.0005"
"","5.8000","0.5731","0.0005"
"","5.9000","0.5830","0.0005"
"","6.0000","0.5930","0.0005"
"","6.1000","0.6031","0.0006"
"","6.2000","0.6132","0.0006"
"","6.3000","0.6227","0.0006"
"","6.4000","0.6331","0.0006"
"","6.5000","0.6430","0.0006"
"","6.6000","0.6531","0.0006"
"","6.7000","0.6630","0.0007"
"","6.8000","0.6731","0.0007"
"","6.9000","0.6830","0.0007"
"","7.0000","0.6929","0.0007"
"","7.1000","0.7032","0.0007"
"","7.2000","0.7131","0.0007"
"","7.3000","0.7230","0.0008"
"","7.4000","0.7328","0.0008"
"","7.5000","0.7432","0.0008"
"","7.6000","0.7530","0.0008"
"","7.7000","0.7629","0.0008"
"","7.8000","0.7731","0.0009"
"","7.9000","0.7832","0.0009"
"","8.0000","0.7931","0.0009"
"","8.1000","0.8028","0.0009"
"","8.2000","0.8130","0.0009"
"","8.3000","0.8231","0.0009"
"","8.4000","0.8330","0.0010"
"","8.5000","0.8430","0.0010"
"","8.6000","0.8531","0.0010"
"","8.7000","0.8632","0.0010"
"","8.8000","0.8728","0.0011"
"","8.9000","0.8830","0.0011"
"","9.0000","0.8931","0.0011"
"","9.1000","0.9031","0.0012"
"","9.2000","0.9129","0.0012"
"","9.3000","0.9231","0.0012"
"","9.4000","0.9331","0.0013"
"","9.5000","0.9428","0.0013"
"","9.6000","0.9531","0.0013"
"","9.7000","0.9631","0.0014"
"","9.8000","0.9731","0.0014"
"","9.9000","0.9829","0.0015"
"","10.0000","0.9932","0.0015"
"","10.1000","1.0031","0.0016"
"","10.2000","1.0129","0.0016"
"","10.3000","1.0231","0.0017"
"","10.4000","1.0331","0.0017"
"","10.5000","1.0431","0.0018"
"","10.6000","1.0527","0.0018"
"","10.7000","1.0631","0.0019"
"","10.8000","1.0732","0.0019"
"","10.9000","1.0830","0.0020"
