1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.1000","0.0037","0.0000"
"","0.2000","0.0126","0.0001"
"","0.3000","0.0241","0.0001"
"","0.4000","0.0346","0.0001"
"","0.5000","0.0445","0.0002"
"","0.6000","0.0544","0.0002"
"","0.7000","0.0644","0.0003"
"","0.8000","0.0746","0.0003"
"","0.9000","0.0845","0.0004"
"","1.0000","0.0942","0.0004"
"","1.1000","0.1045","0.0005"
"","1.2000","0.1146","0.0005"
"","1.3000","0.1245","0.0006"
"","1.4000","0.1343","0.0006"
"","1.5000","0.1445","0.0006"
"","1.6000","0.1547","0.0007"
"","1.7000","0.1643","0.0007"
"","1.8000","0.1744","0.0008"
"","1.9000","0.1845","0.0009"
"","2.0000","0.1946","0.0009"
"","2.1000","0.2043","0.0010"
"","2.2000","0.2144","0.0010"
"","2.3000","0.2245","0.0011"
"","2.4000","0.2345","0.0011"
"","2.5000","0.2445","0.0012"
"","2.6000","0.2544","0.0012"
"","2.7000","0.2645","0.0013"
"","2.8000","0.2743","0.0014"
"","2.9000","0.2845","0.0014"
"","3.0000","0.2944","0.0015"
"","3.1000","0.3044","0.0015"
"","3.2000","0.3145","0.0016"
"","3.3000","0.3247","0.0017"
"","3.4000","0.3345","0.0017"
"","3.5000","0.3442","0.0018"
"","3.6000","0.3545","0.0019"
"","3.7000","0.3646","0.0019"
"","3.8000","0.3744","0.0020"
"","3.9000","0.3843","0.0021"
"","4.0000","0.3945","0.0022"
"","4.1000","0.4047","0.0023"
"","4.2000","0.4144","0.0023"
"","4.3000","0.4245","0.0024"
"","4.4000","0.4345","0.0025"
"","4.5000","0.4446","0.0026"
"","4.6000","0.4543","0.0026"
"","4.7000","0.4645","0.0027"
"","4.8000","0.4745","0.0028"
"","4.9000","0.4845","0.0029"
"","5.0000","0.4945","0.0030"
"","5.1000","0.5045","0.0030"
"","5.2000","0.5145","0.0031"
"","5.3000","0.5242","0.0032"
"","5.4000","0.5346","0.0033"
"","5.5000","0.5445","0.0034"
"","5.6000","0.5544","0.0035"
"","5.7000","0.5644","0.0036"
"","5.8000","0.5746","0.0037"
"","5.9000","0.5846","0.0038"
"","6.0000","0.5942","0.0039"
"","6.1000","0.6045","0.0040"
"","6.2000","0.6145","0.0041"
"","6.3000","0.6244","0.0042"
"","6.4000","0.6343","0.0044"
"","6.5000","0.6445","0.0045"
"","6.6000","0.6546","0.0046"
"","6.7000","0.6643","0.0047"
"","6.8000","0.6745","0.0048"
"","6.9000","0.6846","0.0050"
"","7.0000","0.6946","0.0051"
"","7.1000","0.7042","0.0052"
"","7.2000","0.7145","0.0053"
"","7.3000","0.7246","0.0055"
"","7.4000","0.7344","0.0056"
"","7.5000","0.7444","0.0057"
"","7.6000","0.7546","0.0059"
"","7.7000","0.7646","0.0060"
"","7.8000","0.7742","0.0062"
"","7.9000","0.7845","0.0064"
"","8.0000","0.7945","0.0065"
"","8.1000","0.8044","0.0067"
"","8.2000","0.8144","0.0068"
"","8.3000","0.8246","0.0069"
"","8.4000","0.8346","0.0072"
"","8.5000","0.8442","0.0073"
"","8.6000","0.8545","0.0075"
"","8.7000","0.8645","0.0077"
"","8.8000","0.8746","0.0079"
"","8.9000","0.8843","0.0080"
"","9.0000","0.8945","0.0082"
"","9.1000","0.9046","0.0084"
"","9.2000","0.9144","0.0085"
"","9.3000","0.9244","0.0087"
"","9.4000","0.9345","0.0089"
"","9.5000","0.9446","0.0092"
"","9.6000","0.9544","0.0094"
"","9.7000","0.9644","0.0096"
"","9.8000","0.9745","0.0099"
"","9.9000","0.9844","0.0101"
"","10.0000","0.9945","0.0103"
"","10.1000","1.0045","0.0106"
"","10.2000","1.0145","0.0108"
"","10.3000","1.0243","0.0111"
"","10.4000","1.0345","0.0114"
"","10.5000","1.0444","0.0116"
"","10.6000","1.0544","0.0119"
"","10.7000","1.0645","0.0121"
"","10.8000","1.0746","0.0124"
"","10.9000","1.0844","0.0126"
