1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.3281","0.0008"
"","0.1000","0.3312","0.0008"
"","0.2000","0.3392","0.0008"
"","0.3000","0.3511","0.0009"
"","0.4000","0.3613","0.0009"
"","0.5000","0.3712","0.0009"
"","0.6000","0.3814","0.0010"
"","0.7000","0.3915","0.0010"
"","0.8000","0.4015","0.0011"
"","0.9000","0.4112","0.0011"
"","1.0000","0.4215","0.0011"
"","1.1000","0.4316","0.0012"
"","1.2000","0.4414","0.0012"
"","1.3000","0.4514","0.0013"
"","1.4000","0.4615","0.0013"
"","1.5000","0.4715","0.0014"
"","1.6000","0.4810","0.0014"
"","1.7000","0.4912","0.0015"
"","1.8000","0.5013","0.0015"
"","1.9000","0.5115","0.0016"
"","2.0000","0.5213","0.0016"
"","2.1000","0.5315","0.0017"
"","2.2000","0.5415","0.0017"
"","2.3000","0.5513","0.0018"
"","2.4000","0.5615","0.0018"
"","2.5000","0.5714","0.0019"
"","2.6000","0.5814","0.0020"
"","2.7000","0.5913","0.0020"
"","2.8000","0.6014","0.0021"
"","2.9000","0.6114","0.0022"
"","3.0000","0.6213","0.0022"
"","3.1000","0.6316","0.0023"
"","3.2000","0.6414","0.0024"
"","3.3000","0.6513","0.0024"
"","3.4000","0.6612","0.0025"
"","3.5000","0.6715","0.0026"
"","3.6000","0.6816","0.0027"
"","3.7000","0.6913","0.0028"
"","3.8000","0.7014","0.0028"
"","3.9000","0.7115","0.0029"
"","4.0000","0.7216","0.0030"
"","4.1000","0.7311","0.0031"
"","4.2000","0.7415","0.0032"
"","4.3000","0.7514","0.0033"
"","4.4000","0.7615","0.0034"
"","4.5000","0.7713","0.0036"
"","4.6000","0.7815","0.0037"
"","4.7000","0.7915","0.0038"
"","4.8000","0.8013","0.0039"
"","4.9000","0.8115","0.0041"
"","5.0000","0.8215","0.0042"
"","5.1000","0.8314","0.0044"
"","5.2000","0.8413","0.0045"
"","5.3000","0.8515","0.0047"
"","5.4000","0.8614","0.0048"
"","5.5000","0.8712","0.0050"
"","5.6000","0.8815","0.0052"
"","5.7000","0.8915","0.0054"
"","5.8000","0.9014","0.0056"
"","5.9000","0.9112","0.0057"
"","6.0000","0.9214","0.0059"
"","6.1000","0.9315","0.0061"
"","6.2000","0.9413","0.0063"
"","6.3000","0.9513","0.0066"
"","6.4000","0.9615","0.0068"
"","6.5000","0.9716","0.0070"
"","6.6000","0.9811","0.0072"
"","6.7000","0.9915","0.0074"
"","6.8000","1.0015","0.0076"
"","6.9000","1.0115","0.0078"
"","7.0000","1.0213","0.0080"
"","7.1000","1.0315","0.0083"
"","7.2000","1.0415","0.0085"
"","7.3000","1.0513","0.0087"
"","7.4000","1.0614","0.0089"
"","7.5000","1.0714","0.0092"
"","7.6000","1.0814","0.0094"
"","7.7000","1.0913","0.0096"
"","7.8000","1.1015","0.0099"
"","7.9000","1.1114","0.0101"
"","8.0000","1.1213","0.0103"
"","8.1000","1.1315","0.0106"
"","8.2000","1.1415","0.0108"
"","8.3000","1.1514","0.0111"
"","8.4000","1.1611","0.0113"
"","8.5000","1.1715","0.0116"
"","8.6000","1.1815","0.0118"
"","8.7000","1.1914","0.0121"
"","8.8000","1.2013","0.0124"
"","8.9000","1.2115","0.0127"
"","9.0000","1.2216","0.0129"
"","9.1000","1.2311","0.0132"
"","9.2000","1.2413","0.0135"
"","9.3000","1.2514","0.0138"
"","9.4000","1.2615","0.0140"
"","9.5000","1.2713","0.0143"
"","9.6000","1.2814","0.0146"
"","9.7000","1.2915","0.0149"
"","9.8000","1.3014","0.0152"
"","9.9000","1.3115","0.0155"
"","10.0000","1.3214","0.0158"
"","10.1000","1.3313","0.0161"
"","10.2000","1.3413","0.0164"
"","10.3000","1.3514","0.0167"
"","10.4000","1.3614","0.0171"
"","10.5000","1.3713","0.0174"
"","10.6000","1.3816","0.0177"
"","10.7000","1.3916","0.0180"
"","10.8000","1.4014","0.0184"
"","10.9000","1.4112","0.0187"
"","11.0000","1.4215","0.0190"
"","11.1000","1.4315","0.0194"
"","11.2000","1.4413","0.0197"
"","11.3000","1.4514","0.0201"
"","11.4000","1.4615","0.0204"
"","11.5000","1.4716","0.0208"
"","11.6000","1.4811","0.0211"
"","11.7000","1.4915","0.0215"
"","11.8000","1.5014","0.0219"
"","11.9000","1.5115","0.0223"
"","12.0000","1.5212","0.0226"
"","12.1000","1.5315","0.0230"
"","12.2000","1.5415","0.0234"
"","12.3000","1.5512","0.0238"
"","12.4000","1.5614","0.0242"
"","12.5000","1.5714","0.0246"
"","12.6000","1.5815","0.0250"
"","12.7000","1.5914","0.0254"
"","12.8000","1.6015","0.0258"
"","12.9000","1.6114","0.0262"
"","13.0000","1.6213","0.0266"
"","13.1000","1.6315","0.0270"
"","13.2000","1.6416","0.0274"
"","13.3000","1.6514","0.0278"
"","13.4000","1.6612","0.0281"
"","13.5000","1.6715","0.0285"
"","13.6000","1.6815","0.0290"
"","13.7000","1.6913","0.0294"
"","13.8000","1.7013","0.0298"
"","13.9000","1.7115","0.0301"
"","14.0000","1.7216","0.0303"
"","14.1000","1.7311","0.0305"
"","14.2000","1.7414","0.0308"
"","14.3000","1.7515","0.0311"
"","14.4000","1.7615","0.0314"
"","14.5000","1.7713","0.0316"
"","14.6000","1.7814","0.0318"
"","14.7000","1.7915","0.0320"
"","14.8000","1.8013","0.0322"
"","14.9000","1.8114","0.0325"
