1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.1000","0.0025","0.0000"
"","0.2000","0.0142","0.0000"
"","0.3000","0.0247","0.0000"
"","0.4000","0.0353","0.0000"
"","0.5000","0.0451","0.0000"
"","0.6000","0.0550","0.0000"
"","0.7000","0.0649","0.0000"
"","0.8000","0.0753","0.0001"
"","0.9000","0.0851","0.0001"
"","1.0000","0.0948","0.0001"
"","1.1000","0.1051","0.0001"
"","1.2000","0.1152","0.0001"
"","1.3000","0.1251","0.0001"
"","1.4000","0.1348","0.0001"
"","1.5000","0.1450","0.0001"
"","1.6000","0.1553","0.0001"
"","1.7000","0.1651","0.0002"
"","1.8000","0.1750","0.0002"
"","1.9000","0.1850","0.0002"
"","2.0000","0.1951","0.0002"
"","2.1000","0.2049","0.0002"
"","2.2000","0.2151","0.0002"
"","2.3000","0.2251","0.0002"
"","2.4000","0.2350","0.0002"
"","2.5000","0.2452","0.0002"
"","2.6000","0.2551","0.0003"
"","2.7000","0.2652","0.0003"
"","2.8000","0.2748","0.0003"
"","2.9000","0.2852","0.0003"
"","3.0000","0.2951","0.0003"
"","3.1000","0.3050","0.0003"
"","3.2000","0.3149","0.0003"
"","3.3000","0.3252","0.0003"
"","3.4000","0.3351","0.0003"
"","3.5000","0.3449","0.0004"
"","3.6000","0.3551","0.0004"
"","3.7000","0.3651","0.0004"
"","3.8000","0.3752","0.0004"
"","3.9000","0.3848","0.0004"
"","4.0000","0.3950","0.0004"
"","4.1000","0.4052","0.0004"
"","4.2000","0.4151","0.0004"
"","4.3000","0.4251","0.0005"
"","4.4000","0.4351","0.0005"
"","4.5000","0.4450","0.0005"
"","4.6000","0.4547","0.0005"
"","4.7000","0.4649","0.0005"
"","4.8000","0.4750","0.0005"
"","4.9000","0.4850","0.0005"
"","5.0000","0.4952","0.0006"
"","5.1000","0.5051","0.0006"
"","5.2000","0.5151","0.0006"
"","5.3000","0.5248","0.0006"
"","5.4000","0.5353","0.0006"
"","5.5000","0.5451","0.0006"
"","5.6000","0.5550","0.0006"
"","5.7000","0.5650","0.0007"
"","5.8000","0.5752","0.0007"
"","5.9000","0.5851","0.0007"
"","6.0000","0.5948","0.0007"
"","6.1000","0.6052","0.0007"
"","6.2000","0.6151","0.0007"
"","6.3000","0.6251","0.0008"
"","6.4000","0.6348","0.0008"
"","6.5000","0.6451","0.0008"
"","6.6000","0.6552","0.0008"
"","6.7000","0.6650","0.0008"
"","6.8000","0.6751","0.0008"
"","6.9000","0.6851","0.0009"
"","7.0000","0.6952","0.0009"
"","7.1000","0.7050","0.0009"
"","7.2000","0.7152","0.0009"
"","7.3000","0.7251","0.0009"
"","7.4000","0.7350","0.0009"
"","7.5000","0.7452","0.0009"
"","7.6000","0.7551","0.0010"
"","7.7000","0.7651","0.0010"
"","7.8000","0.7748","0.0010"
"","7.9000","0.7853","0.0010"
"","8.0000","0.7951","0.0010"
"","8.1000","0.8050","0.0011"
"","8.2000","0.8149","0.0011"
"","8.3000","0.8252","0.0011"
"","8.4000","0.8351","0.0011"
"","8.5000","0.8448","0.0011"
"","8.6000","0.8550","0.0011"
"","8.7000","0.8652","0.0012"
"","8.8000","0.8751","0.0012"
"","8.9000","0.8848","0.0012"
"","9.0000","0.8951","0.0012"
"","9.1000","0.9052","0.0012"
"","9.2000","0.9150","0.0012"
"","9.3000","0.9250","0.0013"
"","9.4000","0.9350","0.0013"
"","9.5000","0.9451","0.0013"
"","9.6000","0.9549","0.0013"
"","9.7000","0.9650","0.0013"
"","9.8000","0.9751","0.0013"
"","9.9000","0.9850","0.0014"
"","10.0000","0.9952","0.0014"
"","10.1000","1.0051","0.0014"
"","10.2000","1.0151","0.0014"
"","10.3000","1.0248","0.0014"
"","10.4000","1.0352","0.0015"
"","10.5000","1.0451","0.0015"
"","10.6000","1.0550","0.0015"
"","10.7000","1.0649","0.0015"
"","10.8000","1.0752","0.0015"
"","10.9000","1.0852","0.0016"
