1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0002"
"","0.1000","0.0031","0.0002"
"","0.2000","0.0109","0.0003"
"","0.3000","0.0227","0.0003"
"","0.4000","0.0331","0.0003"
"","0.5000","0.0433","0.0003"
"","0.6000","0.0529","0.0003"
"","0.7000","0.0632","0.0003"
"","0.8000","0.0732","0.0004"
"","0.9000","0.0833","0.0004"
"","1.0000","0.0932","0.0004"
"","1.1000","0.1033","0.0004"
"","1.2000","0.1133","0.0004"
"","1.3000","0.1230","0.0004"
"","1.4000","0.1333","0.0004"
"","1.5000","0.1432","0.0005"
"","1.6000","0.1531","0.0005"
"","1.7000","0.1631","0.0005"
"","1.8000","0.1734","0.0005"
"","1.9000","0.1833","0.0005"
"","2.0000","0.1931","0.0005"
"","2.1000","0.2032","0.0005"
"","2.2000","0.2133","0.0005"
"","2.3000","0.2232","0.0006"
"","2.4000","0.2330","0.0006"
"","2.5000","0.2433","0.0006"
"","2.6000","0.2534","0.0006"
"","2.7000","0.2631","0.0006"
"","2.8000","0.2732","0.0006"
"","2.9000","0.2833","0.0006"
"","3.0000","0.2935","0.0007"
"","3.1000","0.3030","0.0007"
"","3.2000","0.3132","0.0007"
"","3.3000","0.3232","0.0007"
"","3.4000","0.3332","0.0007"
"","3.5000","0.3431","0.0007"
"","3.6000","0.3532","0.0007"
"","3.7000","0.3633","0.0008"
"","3.8000","0.3730","0.0008"
"","3.9000","0.3834","0.0008"
"","4.0000","0.3932","0.0008"
"","4.1000","0.4032","0.0008"
"","4.2000","0.4130","0.0008"
"","4.3000","0.4234","0.0009"
"","4.4000","0.4332","0.0009"
"","4.5000","0.4431","0.0009"
"","4.6000","0.4532","0.0009"
"","4.7000","0.4633","0.0009"
"","4.8000","0.4733","0.0009"
"","4.9000","0.4830","0.0010"
"","5.0000","0.4933","0.0010"
"","5.1000","0.5033","0.0010"
"","5.2000","0.5131","0.0010"
"","5.3000","0.5231","0.0010"
"","5.4000","0.5333","0.0010"
"","5.5000","0.5434","0.0010"
"","5.6000","0.5530","0.0011"
"","5.7000","0.5632","0.0011"
"","5.8000","0.5733","0.0011"
"","5.9000","0.5832","0.0011"
"","6.0000","0.5931","0.0011"
"","6.1000","0.6032","0.0011"
"","6.2000","0.6133","0.0012"
"","6.3000","0.6231","0.0012"
"","6.4000","0.6333","0.0012"
"","6.5000","0.6432","0.0012"
"","6.6000","0.6532","0.0012"
"","6.7000","0.6631","0.0013"
"","6.8000","0.6733","0.0013"
"","6.9000","0.6833","0.0013"
"","7.0000","0.6931","0.0013"
"","7.1000","0.7033","0.0013"
"","7.2000","0.7133","0.0013"
"","7.3000","0.7233","0.0014"
"","7.4000","0.7330","0.0014"
"","7.5000","0.7433","0.0014"
"","7.6000","0.7533","0.0014"
"","7.7000","0.7632","0.0014"
"","7.8000","0.7732","0.0014"
"","7.9000","0.7833","0.0015"
"","8.0000","0.7934","0.0015"
"","8.1000","0.8029","0.0015"
"","8.2000","0.8133","0.0015"
"","8.3000","0.8232","0.0016"
"","8.4000","0.8333","0.0016"
"","8.5000","0.8432","0.0016"
"","8.6000","0.8534","0.0016"
"","8.7000","0.8633","0.0016"
"","8.8000","0.8730","0.0017"
"","8.9000","0.8833","0.0017"
"","9.0000","0.8932","0.0017"
"","9.1000","0.9032","0.0017"
"","9.2000","0.9130","0.0017"
"","9.3000","0.9234","0.0018"
"","9.4000","0.9333","0.0018"
"","9.5000","0.9431","0.0018"
"","9.6000","0.9532","0.0018"
"","9.7000","0.9634","0.0019"
"","9.8000","0.9732","0.0019"
"","9.9000","0.9830","0.0019"
"","10.0000","0.9933","0.0019"
"","10.1000","1.0034","0.0020"
"","10.2000","1.0131","0.0020"
"","10.3000","1.0232","0.0020"
"","10.4000","1.0333","0.0020"
"","10.5000","1.0434","0.0021"
"","10.6000","1.0530","0.0021"
"","10.7000","1.0631","0.0021"
"","10.8000","1.0732","0.0021"
"","10.9000","1.0832","0.0022"
"","11.0000","1.0931","0.0022"
"","11.1000","1.1033","0.0022"
"","11.2000","1.1133","0.0022"
"","11.3000","1.1231","0.0023"
"","11.4000","1.1334","0.0023"
"","11.5000","1.1432","0.0023"
"","11.6000","1.1532","0.0024"
"","11.7000","1.1631","0.0024"
"","11.8000","1.1734","0.0024"
"","11.9000","1.1831","0.0025"
"","12.0000","1.1930","0.0025"
"","12.1000","1.2032","0.0025"
"","12.2000","1.2134","0.0025"
"","12.3000","1.2233","0.0026"
"","12.4000","1.2330","0.0026"
"","12.5000","1.2433","0.0026"
"","12.6000","1.2533","0.0027"
"","12.7000","1.2631","0.0027"
"","12.8000","1.2731","0.0028"
"","12.9000","1.2832","0.0028"
"","13.0000","1.2934","0.0028"
"","13.1000","1.3030","0.0029"
"","13.2000","1.3131","0.0029"
"","13.3000","1.3233","0.0030"
"","13.4000","1.3333","0.0030"
"","13.5000","1.3432","0.0030"
"","13.6000","1.3532","0.0031"
"","13.7000","1.3632","0.0031"
"","13.8000","1.3730","0.0032"
"","13.9000","1.3833","0.0032"
"","14.0000","1.3932","0.0032"
"","14.1000","1.4032","0.0033"
"","14.2000","1.4131","0.0033"
"","14.3000","1.4234","0.0034"
"","14.4000","1.4332","0.0034"
"","14.5000","1.4431","0.0035"
"","14.6000","1.4533","0.0035"
"","14.7000","1.4633","0.0035"
"","14.8000","1.4732","0.0036"
"","14.9000","1.4830","0.0036"
"","15.0000","1.4933","0.0037"
"","15.1000","1.5034","0.0038"
"","15.2000","1.5132","0.0038"
"","15.3000","1.5232","0.0038"
"","15.4000","1.5332","0.0039"
"","15.5000","1.5433","0.0040"
"","15.6000","1.5531","0.0040"
"","15.7000","1.5633","0.0041"
"","15.8000","1.5732","0.0041"
"","15.9000","1.5832","0.0042"
"","16.0000","1.5932","0.0043"
"","16.1000","1.6034","0.0043"
"","16.2000","1.6132","0.0044"
"","16.3000","1.6230","0.0045"
"","16.4000","1.6333","0.0045"
"","16.5000","1.6433","0.0046"
"","16.6000","1.6531","0.0047"
"","16.7000","1.6631","0.0048"
"","16.8000","1.6734","0.0049"
"","16.9000","1.6834","0.0050"
"","17.0000","1.6930","0.0051"
"","17.1000","1.7032","0.0052"
"","17.2000","1.7133","0.0053"
"","17.3000","1.7233","0.0054"
"","17.4000","1.7329","0.0055"
"","17.5000","1.7432","0.0057"
"","17.6000","1.7533","0.0058"
"","17.7000","1.7632","0.0059"
"","17.8000","1.7732","0.0060"
"","17.9000","1.7833","0.0062"
"","18.0000","1.7934","0.0063"
"","18.1000","1.8030","0.0064"
"","18.2000","1.8132","0.0066"
"","18.3000","1.8232","0.0067"
"","18.4000","1.8332","0.0068"
"","18.5000","1.8431","0.0070"
"","18.6000","1.8534","0.0071"
"","18.7000","1.8633","0.0073"
"","18.8000","1.8730","0.0074"
"","18.9000","1.8833","0.0076"
"","19.0000","1.8932","0.0078"
"","19.1000","1.9032","0.0079"
"","19.2000","1.9130","0.0081"
"","19.3000","1.9233","0.0083"
"","19.4000","1.9333","0.0085"
"","19.5000","1.9431","0.0086"
"","19.6000","1.9532","0.0088"
"","19.7000","1.9633","0.0090"
"","19.8000","1.9733","0.0092"
"","19.9000","1.9830","0.0094"
"","20.0000","1.9933","0.0096"
"","20.1000","2.0033","0.0098"
"","20.2000","2.0131","0.0100"
"","20.3000","2.0229","0.0102"
"","20.4000","2.0331","0.0104"
"","20.5000","2.0433","0.0107"
"","20.6000","2.0532","0.0109"
"","20.7000","2.0631","0.0111"
"","20.8000","2.0733","0.0114"
"","20.9000","2.0832","0.0116"
"","21.0000","2.0932","0.0118"
"","21.1000","2.1032","0.0121"
"","21.2000","2.1133","0.0124"
"","21.3000","2.1231","0.0126"
"","21.4000","2.1333","0.0129"
"","21.5000","2.1432","0.0131"
"","21.6000","2.1531","0.0134"
"","21.7000","2.1631","0.0137"
"","21.8000","2.1734","0.0140"
"","21.9000","2.1832","0.0143"
"","22.0000","2.1930","0.0146"
"","22.1000","2.2033","0.0149"
"","22.2000","2.2133","0.0152"
"","22.3000","2.2233","0.0155"
"","22.4000","2.2330","0.0158"
"","22.5000","2.2433","0.0162"
"","22.6000","2.2534","0.0165"
"","22.7000","2.2631","0.0168"
"","22.8000","2.2731","0.0171"
"","22.9000","2.2832","0.0175"
"","23.0000","2.2934","0.0178"
"","23.1000","2.3030","0.0181"
"","23.2000","2.3132","0.0185"
"","23.3000","2.3232","0.0188"
"","23.4000","2.3333","0.0191"
"","23.5000","2.3433","0.0195"
"","23.6000","2.3533","0.0199"
"","23.7000","2.3632","0.0202"
"","23.8000","2.3730","0.0205"
"","23.9000","2.3834","0.0209"
"","24.0000","2.3932","0.0213"
"","24.1000","2.4031","0.0216"
"","24.2000","2.4130","0.0220"
"","24.3000","2.4235","0.0224"
"","24.4000","2.4333","0.0228"
"","24.5000","2.4431","0.0231"
"","24.6000","2.4532","0.0235"
"","24.7000","2.4634","0.0240"
"","24.8000","2.4732","0.0244"
"","24.9000","2.4829","0.0248"
"","25.0000","2.4932","0.0252"
"","25.1000","2.5034","0.0256"
"","25.2000","2.5131","0.0260"
"","25.3000","2.5231","0.0265"
"","25.4000","2.5333","0.0269"
"","25.5000","2.5434","0.0273"
"","25.6000","2.5530","0.0277"
"","25.7000","2.5632","0.0281"
"","25.8000","2.5732","0.0286"
"","25.9000","2.5832","0.0290"
"","26.0000","2.5931","0.0295"
"","26.1000","2.6032","0.0300"
"","26.2000","2.6133","0.0304"
"","26.3000","2.6230","0.0308"
"","26.4000","2.6334","0.0313"
"","26.5000","2.6431","0.0316"
"","26.6000","2.6532","0.0320"
"","26.7000","2.6630","0.0325"
"","26.8000","2.6734","0.0329"
"","26.9000","2.6832","0.0333"
"","27.0000","2.6930","0.0337"
"","27.1000","2.7032","0.0337"
"","27.2000","2.7134","0.0338"
"","27.3000","2.7233","0.0338"
"","27.4000","2.7330","0.0338"
"","27.5000","2.7433","0.0339"
"","27.6000","2.7533","0.0339"
"","27.7000","2.7631","0.0339"
"","27.8000","2.7731","0.0339"
"","27.9000","2.7832","0.0339"
"","28.0000","2.7934","0.0338"
"","28.1000","2.8031","0.0338"
"","28.2000","2.8131","0.0338"
"","28.3000","2.8233","0.0339"
"","28.4000","2.8332","0.0339"
"","28.5000","2.8433","0.0339"
"","28.6000","2.8532","0.0339"
"","28.7000","2.8632","0.0339"
"","28.8000","2.8730","0.0339"
"","28.9000","2.8833","0.0340"
"","29.0000","2.8932","0.0342"
"","29.1000","2.9032","0.0346"
"","29.2000","2.9131","0.0347"
"","29.3000","2.9234","0.0355"
"","29.4000","2.9333","0.0362"
"","29.5000","2.9431","0.0369"
"","29.6000","2.9532","0.0376"
"","29.7000","2.9633","0.0383"
"","29.8000","2.9733","0.0389"
"","29.9000","2.9830","0.0394"
"","30.0000","2.9933","0.0400"
"","30.1000","3.0033","0.0406"
"","30.2000","3.0131","0.0411"
"","30.3000","3.0231","0.0417"
"","30.4000","3.0333","0.0422"
"","30.5000","3.0434","0.0428"
"","30.6000","3.0530","0.0433"
"","30.7000","3.0632","0.0439"
"","30.8000","3.0732","0.0444"
"","30.9000","3.0832","0.0450"
"","31.0000","3.0932","0.0455"
"","31.1000","3.1033","0.0461"
"","31.2000","3.1132","0.0467"
"","31.3000","3.1230","0.0472"
"","31.4000","3.1334","0.0479"
"","31.5000","3.1432","0.0484"
"","31.6000","3.1531","0.0490"
"","31.7000","3.1631","0.0496"
"","31.8000","3.1734","0.0502"
"","31.9000","3.1833","0.0508"
"","32.0000","3.1931","0.0514"
"","32.1000","3.2032","0.0521"
"","32.2000","3.2134","0.0527"
"","32.3000","3.2232","0.0533"
"","32.4000","3.2329","0.0539"
"","32.5000","3.2432","0.0545"
"","32.6000","3.2534","0.0552"
"","32.7000","3.2631","0.0558"
"","32.8000","3.2731","0.0564"
"","32.9000","3.2833","0.0571"
"","33.0000","3.2934","0.0577"
"","33.1000","3.3030","0.0583"
"","33.2000","3.3131","0.0590"
"","33.3000","3.3232","0.0597"
"","33.4000","3.3332","0.0603"
"","33.5000","3.3432","0.0609"
"","33.6000","3.3533","0.0616"
"","33.7000","3.3633","0.0623"
"","33.8000","3.3730","0.0629"
"","33.9000","3.3834","0.0636"
"","34.0000","3.3931","0.0643"
"","34.1000","3.4032","0.0650"
"","34.2000","3.4131","0.0656"
"","34.3000","3.4234","0.0664"
"","34.4000","3.4331","0.0670"
"","34.5000","3.4430","0.0677"
"","34.6000","3.4532","0.0684"
"","34.7000","3.4633","0.0691"
"","34.8000","3.4732","0.0698"
"","34.9000","3.4830","0.0705"
"","35.0000","3.4933","0.0713"
"","35.1000","3.5034","0.0720"
"","35.2000","3.5131","0.0726"
"","35.3000","3.5231","0.0734"
"","35.4000","3.5332","0.0741"
"","35.5000","3.5434","0.0749"
"","35.6000","3.5530","0.0755"
"","35.7000","3.5632","0.0763"
"","35.8000","3.5733","0.0771"
"","35.9000","3.5832","0.0778"
"","36.0000","3.5932","0.0785"
"","36.1000","3.6032","0.0793"
"","36.2000","3.6133","0.0800"
"","36.3000","3.6231","0.0807"
"","36.4000","3.6333","0.0815"
"","36.5000","3.6432","0.0823"
"","36.6000","3.6532","0.0830"
"","36.7000","3.6631","0.0838"
"","36.8000","3.6734","0.0846"
"","36.9000","3.6833","0.0853"
"","37.0000","3.6931","0.0860"
"","37.1000","3.7033","0.0869"
"","37.2000","3.7132","0.0876"
"","37.3000","3.7232","0.0884"
"","37.4000","3.7330","0.0891"
"","37.5000","3.7434","0.0900"
"","37.6000","3.7533","0.0907"
"","37.7000","3.7632","0.0915"
"","37.8000","3.7732","0.0923"
"","37.9000","3.7833","0.0931"
"","38.0000","3.7934","0.0939"
"","38.1000","3.8029","0.0946"
"","38.2000","3.8133","0.0955"
"","38.3000","3.8233","0.0963"
"","38.4000","3.8333","0.0971"
"","38.5000","3.8430","0.0979"
"","38.6000","3.8533","0.0988"
"","38.7000","3.8633","0.0996"
"","38.8000","3.8731","0.1003"
"","38.9000","3.8833","0.1012"
"","39.0000","3.8933","0.1020"
"","39.1000","3.9032","0.1028"
"","39.2000","3.9131","0.1035"
"","39.3000","3.9232","0.1044"
"","39.4000","3.9333","0.1052"
"","39.5000","3.9431","0.1060"
"","39.6000","3.9532","0.1069"
"","39.7000","3.9633","0.1077"
"","39.8000","3.9733","0.1085"
"","39.9000","3.9830","0.1093"
"","40.0000","3.9933","0.1102"
"","40.0670","4.0000","0.1107"
"","40.0680","4.0001","0.1107"
"","40.0690","4.0002","0.1107"
"","40.1690","4.0006","0.1095"
"","40.2690","3.9931","0.1067"
"","40.3690","3.9810","0.1031"
"","40.4690","3.9707","0.1003"
"","40.5690","3.9606","0.0976"
"","40.6690","3.9505","0.0950"
"","40.7690","3.9407","0.0925"
"","40.8690","3.9306","0.0901"
"","40.9690","3.9205","0.0878"
"","41.0690","3.9105","0.0855"
"","41.1690","3.9007","0.0833"
"","41.2690","3.8904","0.0811"
"","41.3690","3.8804","0.0790"
"","41.4690","3.8706","0.0769"
"","41.5690","3.8607","0.0749"
"","41.6690","3.8504","0.0729"
"","41.7690","3.8404","0.0709"
"","41.8690","3.8308","0.0691"
"","41.9690","3.8205","0.0671"
"","42.0690","3.8103","0.0653"
"","42.1690","3.8004","0.0635"
"","42.2690","3.7907","0.0619"
"","42.3690","3.7805","0.0602"
"","42.4690","3.7704","0.0585"
"","42.5690","3.7606","0.0569"
"","42.6690","3.7505","0.0554"
"","42.7690","3.7404","0.0538"
"","42.8690","3.7304","0.0524"
"","42.9690","3.7207","0.0510"
"","43.0690","3.7104","0.0495"
"","43.1690","3.7005","0.0482"
"","43.2690","3.6907","0.0469"
"","43.3690","3.6806","0.0455"
"","43.4690","3.6704","0.0443"
"","43.5690","3.6604","0.0430"
"","43.6690","3.6507","0.0419"
"","43.7690","3.6404","0.0406"
"","43.8690","3.6303","0.0395"
"","43.9690","3.6205","0.0384"
"","44.0690","3.6108","0.0374"
"","44.1690","3.6006","0.0364"
"","44.2690","3.5904","0.0356"
"","44.3690","3.5806","0.0347"
"","44.4690","3.5706","0.0338"
"","44.5690","3.5604","0.0331"
"","44.6690","3.5504","0.0332"
"","44.7690","3.5405","0.0331"
"","44.8690","3.5306","0.0330"
"","44.9690","3.5205","0.0330"
"","45.0690","3.5106","0.0330"
"","45.1690","3.5004","0.0329"
"","45.2690","3.4905","0.0329"
"","45.3690","3.4804","0.0329"
"","45.4690","3.4707","0.0330"
"","45.5690","3.4604","0.0329"
"","45.6690","3.4505","0.0329"
"","45.7690","3.4407","0.0329"
"","45.8690","3.4306","0.0329"
"","45.9690","3.4205","0.0329"
"","46.0690","3.4104","0.0329"
"","46.1690","3.4007","0.0328"
"","46.2690","3.3904","0.0327"
"","46.3690","3.3804","0.0323"
"","46.4690","3.3704","0.0320"
"","46.5690","3.3607","0.0316"
"","46.6690","3.3505","0.0307"
"","46.7690","3.3404","0.0297"
"","46.8690","3.3306","0.0288"
"","46.9690","3.3206","0.0279"
"","47.0690","3.3105","0.0270"
"","47.1690","3.3005","0.0262"
"","47.2690","3.2905","0.0254"
"","47.3690","3.2805","0.0246"
"","47.4690","3.2705","0.0238"
"","47.5690","3.2606","0.0231"
"","47.6690","3.2505","0.0224"
"","47.7690","3.2405","0.0217"
"","47.8690","3.2306","0.0211"
"","47.9690","3.2207","0.0205"
"","48.0690","3.2104","0.0198"
"","48.1690","3.2005","0.0192"
"","48.2690","3.1907","0.0186"
"","48.3690","3.1806","0.0181"
"","48.4690","3.1704","0.0175"
"","48.5690","3.1605","0.0170"
"","48.6690","3.1508","0.0164"
"","48.7690","3.1405","0.0159"
"","48.8690","3.1304","0.0154"
"","48.9690","3.1204","0.0150"
"","49.0690","3.1107","0.0145"
"","49.1690","3.1005","0.0141"
"","49.2690","3.0904","0.0137"
"","49.3690","3.0807","0.0133"
"","49.4690","3.0705","0.0129"
"","49.5690","3.0605","0.0125"
"","49.6690","3.0505","0.0121"
"","49.7690","3.0406","0.0118"
"","49.8690","3.0306","0.0115"
"","49.9690","3.0205","0.0111"
"","50.0690","3.0107","0.0109"
"","50.1690","3.0003","0.0106"
"","50.2690","2.9904","0.0103"
"","50.3690","2.9805","0.0100"
"","50.4690","2.9707","0.0098"
"","50.5690","2.9604","0.0095"
"","50.6690","2.9505","0.0093"
"","50.7690","2.9407","0.0090"
"","50.8690","2.9306","0.0088"
"","50.9690","2.9203","0.0086"
"","51.0690","2.9104","0.0084"
"","51.1690","2.9008","0.0082"
"","51.2690","2.8905","0.0080"
"","51.3690","2.8803","0.0078"
"","51.4690","2.8705","0.0076"
"","51.5690","2.8608","0.0074"
"","51.6690","2.8506","0.0072"
"","51.7690","2.8404","0.0071"
"","51.8690","2.8305","0.0069"
"","51.9690","2.8206","0.0068"
"","52.0690","2.8105","0.0066"
"","52.1690","2.8004","0.0065"
"","52.2690","2.7905","0.0063"
"","52.3690","2.7806","0.0062"
"","52.4690","2.7705","0.0061"
"","52.5690","2.7606","0.0059"
"","52.6690","2.7504","0.0058"
"","52.7690","2.7405","0.0057"
"","52.8690","2.7305","0.0055"
"","52.9690","2.7207","0.0054"
"","53.0690","2.7104","0.0053"
"","53.1690","2.7004","0.0052"
"","53.2690","2.6906","0.0051"
"","53.3690","2.6806","0.0050"
"","53.4690","2.6705","0.0049"
"","53.5690","2.6604","0.0048"
"","53.6690","2.6508","0.0047"
"","53.7690","2.6404","0.0046"
"","53.8690","2.6304","0.0045"
"","53.9690","2.6204","0.0044"
"","54.0690","2.6107","0.0044"
"","54.1690","2.6005","0.0043"
"","54.2690","2.5904","0.0042"
"","54.3690","2.5806","0.0041"
"","54.4690","2.5706","0.0041"
"","54.5690","2.5605","0.0040"
"","54.6690","2.5504","0.0039"
"","54.7690","2.5405","0.0039"
"","54.8690","2.5305","0.0038"
"","54.9690","2.5205","0.0038"
"","55.0690","2.5106","0.0037"
"","55.1690","2.5005","0.0037"
"","55.2690","2.4906","0.0036"
"","55.3690","2.4806","0.0036"
"","55.4690","2.4707","0.0035"
"","55.5690","2.4604","0.0035"
"","55.6690","2.4505","0.0035"
"","55.7690","2.4406","0.0034"
"","55.8690","2.4306","0.0034"
"","55.9690","2.4204","0.0033"
"","56.0690","2.4104","0.0033"
"","56.1690","2.4008","0.0033"
"","56.2690","2.3905","0.0032"
"","56.3690","2.3804","0.0032"
"","56.4690","2.3705","0.0031"
"","56.5690","2.3607","0.0031"
"","56.6690","2.3505","0.0031"
"","56.7690","2.3404","0.0030"
"","56.8690","2.3305","0.0030"
"","56.9690","2.3205","0.0029"
"","57.0690","2.3105","0.0029"
"","57.1690","2.3005","0.0029"
"","57.2690","2.2906","0.0028"
"","57.3690","2.2805","0.0028"
"","57.4690","2.2705","0.0028"
"","57.5690","2.2607","0.0027"
"","57.6690","2.2504","0.0027"
"","57.7690","2.2404","0.0027"
"","57.8690","2.2305","0.0026"
"","57.9690","2.2208","0.0026"
"","58.0690","2.2104","0.0026"
"","58.1690","2.2004","0.0025"
"","58.2690","2.1906","0.0025"
"","58.3690","2.1807","0.0025"
"","58.4690","2.1704","0.0024"
"","58.5690","2.1603","0.0024"
"","58.6690","2.1507","0.0024"
"","58.7690","2.1405","0.0024"
"","58.8690","2.1303","0.0023"
"","58.9690","2.1205","0.0023"
"","59.0690","2.1107","0.0023"
"","59.1690","2.1006","0.0022"
"","59.2690","2.0904","0.0022"
"","59.3690","2.0806","0.0022"
"","59.4690","2.0705","0.0022"
"","59.5690","2.0604","0.0021"
"","59.6690","2.0504","0.0021"
"","59.7690","2.0406","0.0021"
"","59.8690","2.0305","0.0021"
"","59.9690","2.0207","0.0020"
"","60.0690","2.0108","0.0020"
"","60.1690","2.0006","0.0020"
"","60.2690","1.9904","0.0020"
"","60.3690","1.9804","0.0019"
"","60.4690","1.9706","0.0019"
"","60.5690","1.9604","0.0019"
"","60.6690","1.9504","0.0019"
"","60.7690","1.9406","0.0019"
"","60.8690","1.9306","0.0018"
"","60.9690","1.9205","0.0018"
"","61.0690","1.9104","0.0018"
"","61.1690","1.9008","0.0018"
"","61.2690","1.8904","0.0017"
"","61.3690","1.8804","0.0017"
"","61.4690","1.8704","0.0017"
"","61.5690","1.8607","0.0017"
"","61.6690","1.8505","0.0017"
"","61.7690","1.8404","0.0016"
"","61.8690","1.8306","0.0016"
"","61.9690","1.8206","0.0016"
"","62.0690","1.8106","0.0016"
"","62.1690","1.8004","0.0016"
"","62.2690","1.7906","0.0015"
"","62.3690","1.7805","0.0015"
"","62.4690","1.7705","0.0015"
"","62.5690","1.7606","0.0015"
"","62.6690","1.7505","0.0015"
"","62.7690","1.7405","0.0014"
"","62.8690","1.7305","0.0014"
"","62.9690","1.7207","0.0014"
"","63.0690","1.7104","0.0014"
"","63.1690","1.7005","0.0014"
"","63.2690","1.6907","0.0014"
"","63.3690","1.6806","0.0013"
"","63.4690","1.6704","0.0013"
"","63.5690","1.6605","0.0013"
"","63.6690","1.6508","0.0013"
"","63.7690","1.6404","0.0013"
"","63.8690","1.6303","0.0013"
"","63.9690","1.6205","0.0012"
"","64.0690","1.6107","0.0012"
"","64.1690","1.6005","0.0012"
"","64.2690","1.5903","0.0012"
"","64.3690","1.5806","0.0012"
"","64.4690","1.5706","0.0012"
"","64.5690","1.5605","0.0011"
"","64.6690","1.5504","0.0011"
"","64.7690","1.5406","0.0011"
"","64.8690","1.5306","0.0011"
"","64.9690","1.5205","0.0011"
"","65.0690","1.5106","0.0011"
"","65.1690","1.5004","0.0011"
"","65.2690","1.4904","0.0010"
"","65.3690","1.4805","0.0010"
"","65.4690","1.4707","0.0010"
"","65.5690","1.4604","0.0010"
"","65.6690","1.4505","0.0010"
"","65.7690","1.4407","0.0010"
"","65.8690","1.4306","0.0010"
"","65.9690","1.4204","0.0009"
"","66.0690","1.4104","0.0009"
"","66.1690","1.4007","0.0009"
"","66.2690","1.3905","0.0009"
"","66.3690","1.3803","0.0009"
"","66.4690","1.3705","0.0009"
"","66.5690","1.3607","0.0009"
"","66.6690","1.3506","0.0008"
"","66.7690","1.3404","0.0008"
"","66.8690","1.3306","0.0008"
"","66.9690","1.3206","0.0008"
"","67.0690","1.3104","0.0008"
"","67.1690","1.3004","0.0008"
"","67.2690","1.2906","0.0008"
"","67.3690","1.2806","0.0008"
"","67.4690","1.2705","0.0007"
"","67.5690","1.2606","0.0007"
"","67.6690","1.2505","0.0007"
"","67.7690","1.2406","0.0007"
"","67.8690","1.2305","0.0007"
"","67.9690","1.2206","0.0007"
"","68.0690","1.2103","0.0007"
"","68.1690","1.2004","0.0006"
"","68.2690","1.1906","0.0007"
"","68.3690","1.1807","0.0006"
"","68.4690","1.1705","0.0006"
"","68.5690","1.1604","0.0006"
"","68.6690","1.1507","0.0006"
"","68.7690","1.1404","0.0006"
"","68.8690","1.1304","0.0006"
"","68.9690","1.1204","0.0006"
"","69.0690","1.1107","0.0005"
"","69.1690","1.1005","0.0006"
"","69.2690","1.0904","0.0005"
"","69.3690","1.0806","0.0005"
"","69.4690","1.0706","0.0005"
"","69.5690","1.0605","0.0005"
"","69.6690","1.0504","0.0005"
"","69.7690","1.0407","0.0005"
"","69.8690","1.0305","0.0005"
"","69.9690","1.0205","0.0004"
"","70.0690","1.0106","0.0004"
"","70.1690","1.0004","0.0004"
"","70.2690","0.9905","0.0004"
"","70.3690","0.9805","0.0004"
