1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.1000","0.0037","0.0000"
"","0.2000","0.0129","0.0000"
"","0.3000","0.0243","0.0000"
"","0.4000","0.0349","0.0001"
"","0.5000","0.0448","0.0001"
"","0.6000","0.0547","0.0001"
"","0.7000","0.0644","0.0001"
"","0.8000","0.0748","0.0001"
"","0.9000","0.0847","0.0001"
"","1.0000","0.0945","0.0001"
"","1.1000","0.1046","0.0001"
"","1.2000","0.1148","0.0001"
"","1.3000","0.1248","0.0001"
"","1.4000","0.1343","0.0002"
"","1.5000","0.1446","0.0002"
"","1.6000","0.1548","0.0002"
"","1.7000","0.1648","0.0002"
"","1.8000","0.1745","0.0002"
"","1.9000","0.1846","0.0002"
"","2.0000","0.1947","0.0002"
"","2.1000","0.2045","0.0003"
"","2.2000","0.2147","0.0003"
"","2.3000","0.2247","0.0003"
"","2.4000","0.2347","0.0003"
"","2.5000","0.2446","0.0003"
"","2.6000","0.2547","0.0003"
"","2.7000","0.2647","0.0003"
"","2.8000","0.2745","0.0004"
"","2.9000","0.2848","0.0004"
"","3.0000","0.2948","0.0004"
"","3.1000","0.3046","0.0004"
"","3.2000","0.3144","0.0005"
"","3.3000","0.3248","0.0004"
"","3.4000","0.3348","0.0005"
"","3.5000","0.3445","0.0005"
"","3.6000","0.3546","0.0005"
"","3.7000","0.3648","0.0005"
"","3.8000","0.3749","0.0006"
"","3.9000","0.3844","0.0006"
"","4.0000","0.3946","0.0006"
"","4.1000","0.4047","0.0006"
"","4.2000","0.4148","0.0006"
"","4.3000","0.4246","0.0006"
"","4.4000","0.4347","0.0007"
"","4.5000","0.4447","0.0007"
"","4.6000","0.4544","0.0007"
"","4.7000","0.4645","0.0007"
"","4.8000","0.4746","0.0007"
"","4.9000","0.4846","0.0008"
"","5.0000","0.4946","0.0008"
"","5.1000","0.5047","0.0008"
"","5.2000","0.5147","0.0008"
"","5.3000","0.5245","0.0008"
"","5.4000","0.5349","0.0009"
"","5.5000","0.5447","0.0009"
"","5.6000","0.5546","0.0009"
"","5.7000","0.5644","0.0009"
"","5.8000","0.5748","0.0010"
"","5.9000","0.5847","0.0010"
"","6.0000","0.5946","0.0010"
"","6.1000","0.6047","0.0010"
"","6.2000","0.6148","0.0011"
"","6.3000","0.6249","0.0011"
"","6.4000","0.6343","0.0011"
"","6.5000","0.6447","0.0011"
"","6.6000","0.6547","0.0012"
"","6.7000","0.6648","0.0012"
"","6.8000","0.6745","0.0012"
"","6.9000","0.6847","0.0013"
"","7.0000","0.6948","0.0013"
"","7.1000","0.7046","0.0013"
"","7.2000","0.7148","0.0013"
"","7.3000","0.7247","0.0014"
"","7.4000","0.7347","0.0014"
"","7.5000","0.7446","0.0014"
"","7.6000","0.7547","0.0014"
"","7.7000","0.7647","0.0015"
"","7.8000","0.7745","0.0015"
"","7.9000","0.7848","0.0016"
"","8.0000","0.7948","0.0016"
"","8.1000","0.8047","0.0016"
"","8.2000","0.8144","0.0016"
"","8.3000","0.8247","0.0017"
"","8.4000","0.8348","0.0017"
"","8.5000","0.8446","0.0017"
"","8.6000","0.8546","0.0018"
"","8.7000","0.8648","0.0018"
"","8.8000","0.8748","0.0018"
"","8.9000","0.8843","0.0019"
"","9.0000","0.8946","0.0019"
"","9.1000","0.9048","0.0019"
"","9.2000","0.9147","0.0020"
"","9.3000","0.9246","0.0020"
"","9.4000","0.9347","0.0020"
"","9.5000","0.9447","0.0021"
"","9.6000","0.9545","0.0021"
"","9.7000","0.9647","0.0022"
"","9.8000","0.9747","0.0022"
"","9.9000","0.9847","0.0022"
"","10.0000","0.9946","0.0023"
"","10.1000","1.0048","0.0023"
"","10.2000","1.0147","0.0024"
"","10.3000","1.0245","0.0024"
"","10.4000","1.0348","0.0025"
"","10.5000","1.0447","0.0025"
"","10.6000","1.0547","0.0025"
"","10.7000","1.0643","0.0026"
"","10.8000","1.0748","0.0026"
"","10.9000","1.0848","0.0027"
