1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.1000","0.0031","0.0000"
"","0.2000","0.0109","0.0000"
"","0.3000","0.0228","0.0000"
"","0.4000","0.0330","0.0000"
"","0.5000","0.0434","0.0000"
"","0.6000","0.0532","0.0001"
"","0.7000","0.0630","0.0001"
"","0.8000","0.0732","0.0001"
"","0.9000","0.0833","0.0001"
"","1.0000","0.0932","0.0001"
"","1.1000","0.1030","0.0001"
"","1.2000","0.1133","0.0001"
"","1.3000","0.1234","0.0001"
"","1.4000","0.1331","0.0001"
"","1.5000","0.1431","0.0001"
"","1.6000","0.1532","0.0002"
"","1.7000","0.1634","0.0002"
"","1.8000","0.1730","0.0002"
"","1.9000","0.1831","0.0002"
"","2.0000","0.1932","0.0002"
"","2.1000","0.2032","0.0002"
"","2.2000","0.2132","0.0002"
"","2.3000","0.2232","0.0002"
"","2.4000","0.2333","0.0002"
"","2.5000","0.2431","0.0003"
"","2.6000","0.2533","0.0003"
"","2.7000","0.2632","0.0003"
"","2.8000","0.2731","0.0003"
"","2.9000","0.2831","0.0003"
"","3.0000","0.2933","0.0003"
"","3.1000","0.3032","0.0003"
"","3.2000","0.3130","0.0003"
"","3.3000","0.3233","0.0004"
"","3.4000","0.3332","0.0004"
"","3.5000","0.3432","0.0004"
"","3.6000","0.3530","0.0004"
"","3.7000","0.3633","0.0004"
"","3.8000","0.3734","0.0004"
"","3.9000","0.3831","0.0005"
"","4.0000","0.3931","0.0005"
"","4.1000","0.4032","0.0005"
"","4.2000","0.4134","0.0005"
"","4.3000","0.4229","0.0005"
"","4.4000","0.4333","0.0006"
"","4.5000","0.4432","0.0006"
"","4.6000","0.4532","0.0006"
"","4.7000","0.4632","0.0006"
"","4.8000","0.4733","0.0007"
"","4.9000","0.4832","0.0007"
"","5.0000","0.4929","0.0007"
"","5.1000","0.5031","0.0007"
"","5.2000","0.5131","0.0007"
"","5.3000","0.5231","0.0008"
"","5.4000","0.5331","0.0008"
"","5.5000","0.5434","0.0008"
"","5.6000","0.5533","0.0009"
"","5.7000","0.5631","0.0009"
"","5.8000","0.5732","0.0009"
"","5.9000","0.5834","0.0009"
"","6.0000","0.5932","0.0010"
"","6.1000","0.6029","0.0010"
"","6.2000","0.6132","0.0010"
"","6.3000","0.6234","0.0010"
"","6.4000","0.6331","0.0011"
"","6.5000","0.6431","0.0011"
"","6.6000","0.6533","0.0011"
"","6.7000","0.6634","0.0011"
"","6.8000","0.6730","0.0012"
"","6.9000","0.6831","0.0012"
"","7.0000","0.6932","0.0012"
"","7.1000","0.7032","0.0012"
"","7.2000","0.7131","0.0013"
"","7.3000","0.7232","0.0013"
"","7.4000","0.7333","0.0013"
"","7.5000","0.7430","0.0014"
"","7.6000","0.7534","0.0014"
"","7.7000","0.7631","0.0014"
"","7.8000","0.7732","0.0014"
"","7.9000","0.7831","0.0015"
"","8.0000","0.7934","0.0015"
"","8.1000","0.8032","0.0015"
"","8.2000","0.8130","0.0016"
"","8.3000","0.8232","0.0016"
"","8.4000","0.8333","0.0016"
"","8.5000","0.8432","0.0017"
"","8.6000","0.8530","0.0017"
"","8.7000","0.8632","0.0017"
"","8.8000","0.8734","0.0018"
"","8.9000","0.8831","0.0018"
"","9.0000","0.8931","0.0019"
"","9.1000","0.9032","0.0019"
"","9.2000","0.9134","0.0019"
"","9.3000","0.9231","0.0020"
"","9.4000","0.9331","0.0020"
"","9.5000","0.9432","0.0021"
"","9.6000","0.9532","0.0021"
"","9.7000","0.9632","0.0022"
"","9.8000","0.9732","0.0023"
"","9.9000","0.9832","0.0023"
"","10.0000","0.9930","0.0024"
"","10.1000","1.0033","0.0025"
"","10.2000","1.0132","0.0025"
"","10.3000","1.0232","0.0026"
"","10.4000","1.0331","0.0027"
"","10.5000","1.0434","0.0027"
"","10.6000","1.0533","0.0028"
"","10.7000","1.0630","0.0029"
"","10.8000","1.0732","0.0030"
"","10.9000","1.0833","0.0031"
