1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.1000","0.0025","0.0000"
"","0.2000","0.0142","0.0000"
"","0.3000","0.0249","0.0001"
"","0.4000","0.0352","0.0001"
"","0.5000","0.0452","0.0001"
"","0.6000","0.0549","0.0001"
"","0.7000","0.0652","0.0001"
"","0.8000","0.0752","0.0002"
"","0.9000","0.0851","0.0002"
"","1.0000","0.0948","0.0002"
"","1.1000","0.1052","0.0002"
"","1.2000","0.1153","0.0002"
"","1.3000","0.1250","0.0002"
"","1.4000","0.1351","0.0003"
"","1.5000","0.1452","0.0003"
"","1.6000","0.1553","0.0003"
"","1.7000","0.1648","0.0003"
"","1.8000","0.1750","0.0004"
"","1.9000","0.1851","0.0004"
"","2.0000","0.1952","0.0004"
"","2.1000","0.2050","0.0004"
"","2.2000","0.2151","0.0004"
"","2.3000","0.2252","0.0005"
"","2.4000","0.2350","0.0005"
"","2.5000","0.2451","0.0005"
"","2.6000","0.2550","0.0005"
"","2.7000","0.2650","0.0005"
"","2.8000","0.2751","0.0006"
"","2.9000","0.2852","0.0006"
"","3.0000","0.2952","0.0006"
"","3.1000","0.3050","0.0006"
"","3.2000","0.3154","0.0007"
"","3.3000","0.3252","0.0007"
"","3.4000","0.3351","0.0007"
"","3.5000","0.3448","0.0007"
"","3.6000","0.3552","0.0008"
"","3.7000","0.3652","0.0008"
"","3.8000","0.3750","0.0008"
"","3.9000","0.3851","0.0009"
"","4.0000","0.3952","0.0009"
"","4.1000","0.4053","0.0009"
"","4.2000","0.4149","0.0010"
"","4.3000","0.4252","0.0010"
"","4.4000","0.4352","0.0010"
"","4.5000","0.4452","0.0011"
"","4.6000","0.4551","0.0011"
"","4.7000","0.4652","0.0012"
"","4.8000","0.4752","0.0012"
"","4.9000","0.4850","0.0012"
"","5.0000","0.4953","0.0013"
"","5.1000","0.5051","0.0013"
"","5.2000","0.5152","0.0014"
"","5.3000","0.5250","0.0014"
"","5.4000","0.5352","0.0014"
"","5.5000","0.5452","0.0015"
"","5.6000","0.5549","0.0015"
"","5.7000","0.5652","0.0016"
"","5.8000","0.5752","0.0016"
"","5.9000","0.5851","0.0017"
"","6.0000","0.5949","0.0017"
"","6.1000","0.6052","0.0018"
"","6.2000","0.6152","0.0018"
"","6.3000","0.6250","0.0019"
"","6.4000","0.6351","0.0019"
"","6.5000","0.6452","0.0020"
"","6.6000","0.6552","0.0020"
"","6.7000","0.6649","0.0021"
"","6.8000","0.6752","0.0022"
"","6.9000","0.6852","0.0022"
"","7.0000","0.6951","0.0023"
"","7.1000","0.7051","0.0023"
"","7.2000","0.7152","0.0024"
"","7.3000","0.7252","0.0025"
"","7.4000","0.7349","0.0025"
"","7.5000","0.7451","0.0026"
"","7.6000","0.7552","0.0027"
"","7.7000","0.7651","0.0028"
"","7.8000","0.7750","0.0028"
"","7.9000","0.7852","0.0029"
"","8.0000","0.7952","0.0030"
"","8.1000","0.8050","0.0031"
"","8.2000","0.8152","0.0032"
"","8.3000","0.8252","0.0032"
"","8.4000","0.8352","0.0033"
"","8.5000","0.8448","0.0034"
"","8.6000","0.8551","0.0035"
"","8.7000","0.8653","0.0036"
"","8.8000","0.8751","0.0037"
"","8.9000","0.8851","0.0038"
"","9.0000","0.8952","0.0039"
"","9.1000","0.9052","0.0040"
"","9.2000","0.9149","0.0041"
"","9.3000","0.9250","0.0042"
"","9.4000","0.9351","0.0043"
"","9.5000","0.9452","0.0044"
"","9.6000","0.9551","0.0045"
"","9.7000","0.9651","0.0046"
"","9.8000","0.9752","0.0047"
"","9.9000","0.9850","0.0048"
"","10.0000","0.9952","0.0049"
"","10.1000","1.0051","0.0051"
"","10.2000","1.0151","0.0052"
"","10.3000","1.0250","0.0053"
"","10.4000","1.0352","0.0054"
"","10.5000","1.0451","0.0055"
"","10.6000","1.0550","0.0057"
"","10.7000","1.0653","0.0058"
"","10.8000","1.0752","0.0059"
"","10.9000","1.0850","0.0061"
