1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.1000","0.0037","0.0000"
"","0.2000","0.0128","0.0001"
"","0.3000","0.0245","0.0001"
"","0.4000","0.0348","0.0001"
"","0.5000","0.0449","0.0002"
"","0.6000","0.0545","0.0002"
"","0.7000","0.0647","0.0002"
"","0.8000","0.0747","0.0002"
"","0.9000","0.0848","0.0003"
"","1.0000","0.0946","0.0003"
"","1.1000","0.1047","0.0003"
"","1.2000","0.1148","0.0003"
"","1.3000","0.1246","0.0003"
"","1.4000","0.1349","0.0004"
"","1.5000","0.1447","0.0003"
"","1.6000","0.1548","0.0004"
"","1.7000","0.1645","0.0004"
"","1.8000","0.1749","0.0004"
"","1.9000","0.1847","0.0004"
"","2.0000","0.1946","0.0005"
"","2.1000","0.2047","0.0005"
"","2.2000","0.2149","0.0005"
"","2.3000","0.2248","0.0005"
"","2.4000","0.2345","0.0005"
"","2.5000","0.2448","0.0006"
"","2.6000","0.2549","0.0006"
"","2.7000","0.2646","0.0006"
"","2.8000","0.2746","0.0006"
"","2.9000","0.2847","0.0006"
"","3.0000","0.2949","0.0006"
"","3.1000","0.3046","0.0007"
"","3.2000","0.3146","0.0007"
"","3.3000","0.3247","0.0007"
"","3.4000","0.3348","0.0007"
"","3.5000","0.3447","0.0008"
"","3.6000","0.3547","0.0008"
"","3.7000","0.3648","0.0008"
"","3.8000","0.3746","0.0008"
"","3.9000","0.3849","0.0008"
"","4.0000","0.3947","0.0009"
"","4.1000","0.4047","0.0009"
"","4.2000","0.4145","0.0009"
"","4.3000","0.4249","0.0009"
"","4.4000","0.4347","0.0010"
"","4.5000","0.4446","0.0010"
"","4.6000","0.4547","0.0010"
"","4.7000","0.4649","0.0010"
"","4.8000","0.4748","0.0011"
"","4.9000","0.4844","0.0011"
"","5.0000","0.4948","0.0011"
"","5.1000","0.5049","0.0012"
"","5.2000","0.5147","0.0012"
"","5.3000","0.5247","0.0012"
"","5.4000","0.5348","0.0012"
"","5.5000","0.5449","0.0013"
"","5.6000","0.5545","0.0013"
"","5.7000","0.5648","0.0013"
"","5.8000","0.5747","0.0014"
"","5.9000","0.5848","0.0014"
"","6.0000","0.5947","0.0014"
"","6.1000","0.6048","0.0015"
"","6.2000","0.6147","0.0015"
"","6.3000","0.6245","0.0016"
"","6.4000","0.6349","0.0016"
"","6.5000","0.6448","0.0017"
"","6.6000","0.6547","0.0017"
"","6.7000","0.6645","0.0017"
"","6.8000","0.6749","0.0018"
"","6.9000","0.6848","0.0018"
"","7.0000","0.6946","0.0019"
"","7.1000","0.7047","0.0019"
"","7.2000","0.7148","0.0020"
"","7.3000","0.7248","0.0021"
"","7.4000","0.7344","0.0021"
"","7.5000","0.7448","0.0022"
"","7.6000","0.7548","0.0022"
"","7.7000","0.7647","0.0023"
"","7.8000","0.7747","0.0023"
"","7.9000","0.7848","0.0024"
"","8.0000","0.7949","0.0024"
"","8.1000","0.8045","0.0025"
"","8.2000","0.8147","0.0026"
"","8.3000","0.8248","0.0026"
"","8.4000","0.8347","0.0027"
"","8.5000","0.8446","0.0028"
"","8.6000","0.8548","0.0028"
"","8.7000","0.8649","0.0029"
"","8.8000","0.8745","0.0029"
"","8.9000","0.8848","0.0030"
"","9.0000","0.8948","0.0031"
"","9.1000","0.9048","0.0032"
"","9.2000","0.9145","0.0032"
"","9.3000","0.9248","0.0033"
"","9.4000","0.9348","0.0034"
"","9.5000","0.9446","0.0035"
"","9.6000","0.9547","0.0036"
"","9.7000","0.9648","0.0037"
"","9.8000","0.9748","0.0038"
"","9.9000","0.9845","0.0039"
"","10.0000","0.9948","0.0040"
"","10.1000","1.0048","0.0041"
"","10.2000","1.0147","0.0042"
"","10.3000","1.0246","0.0043"
"","10.4000","1.0347","0.0044"
"","10.5000","1.0449","0.0046"
"","10.6000","1.0546","0.0047"
"","10.7000","1.0647","0.0048"
"","10.8000","1.0747","0.0050"
"","10.9000","1.0847","0.0051"
