1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.1000","0.0026","0.0000"
"","0.2000","0.0143","0.0000"
"","0.3000","0.0249","0.0000"
"","0.4000","0.0348","0.0000"
"","0.5000","0.0452","0.0000"
"","0.6000","0.0552","0.0000"
"","0.7000","0.0651","0.0000"
"","0.8000","0.0749","0.0000"
"","0.9000","0.0852","0.0000"
"","1.0000","0.0952","0.0000"
"","1.1000","0.1050","0.0000"
"","1.2000","0.1151","0.0000"
"","1.3000","0.1252","0.0000"
"","1.4000","0.1352","0.0001"
"","1.5000","0.1448","0.0001"
"","1.6000","0.1551","0.0001"
"","1.7000","0.1652","0.0001"
"","1.8000","0.1752","0.0001"
"","1.9000","0.1850","0.0001"
"","2.0000","0.1951","0.0001"
"","2.1000","0.2052","0.0001"
"","2.2000","0.2149","0.0001"
"","2.3000","0.2251","0.0001"
"","2.4000","0.2351","0.0001"
"","2.5000","0.2451","0.0001"
"","2.6000","0.2551","0.0002"
"","2.7000","0.2652","0.0002"
"","2.8000","0.2752","0.0002"
"","2.9000","0.2849","0.0002"
"","3.0000","0.2952","0.0002"
"","3.1000","0.3051","0.0002"
"","3.2000","0.3151","0.0002"
"","3.3000","0.3249","0.0002"
"","3.4000","0.3353","0.0003"
"","3.5000","0.3453","0.0003"
"","3.6000","0.3550","0.0003"
"","3.7000","0.3651","0.0003"
"","3.8000","0.3752","0.0003"
"","3.9000","0.3853","0.0003"
"","4.0000","0.3948","0.0004"
"","4.1000","0.4050","0.0004"
"","4.2000","0.4152","0.0004"
"","4.3000","0.4252","0.0004"
"","4.4000","0.4350","0.0004"
"","4.5000","0.4452","0.0005"
"","4.6000","0.4552","0.0005"
"","4.7000","0.4651","0.0005"
"","4.8000","0.4751","0.0005"
"","4.9000","0.4851","0.0005"
"","5.0000","0.4951","0.0005"
"","5.1000","0.5051","0.0006"
"","5.2000","0.5152","0.0006"
"","5.3000","0.5252","0.0006"
"","5.4000","0.5350","0.0006"
"","5.5000","0.5453","0.0007"
"","5.6000","0.5552","0.0007"
"","5.7000","0.5651","0.0007"
"","5.8000","0.5749","0.0007"
"","5.9000","0.5852","0.0007"
"","6.0000","0.5952","0.0008"
"","6.1000","0.6050","0.0008"
"","6.2000","0.6151","0.0008"
"","6.3000","0.6252","0.0009"
"","6.4000","0.6353","0.0009"
"","6.5000","0.6448","0.0009"
"","6.6000","0.6552","0.0010"
"","6.7000","0.6651","0.0010"
"","6.8000","0.6752","0.0010"
"","6.9000","0.6851","0.0011"
"","7.0000","0.6952","0.0011"
"","7.1000","0.7052","0.0012"
"","7.2000","0.7149","0.0012"
"","7.3000","0.7253","0.0013"
"","7.4000","0.7351","0.0014"
"","7.5000","0.7451","0.0014"
"","7.6000","0.7550","0.0015"
"","7.7000","0.7653","0.0015"
"","7.8000","0.7751","0.0016"
"","7.9000","0.7849","0.0017"
"","8.0000","0.7952","0.0018"
"","8.1000","0.8053","0.0019"
"","8.2000","0.8151","0.0019"
"","8.3000","0.8249","0.0020"
"","8.4000","0.8352","0.0021"
"","8.5000","0.8453","0.0022"
"","8.6000","0.8550","0.0023"
"","8.7000","0.8651","0.0024"
"","8.8000","0.8752","0.0024"
"","8.9000","0.8852","0.0026"
"","9.0000","0.8949","0.0027"
"","9.1000","0.9051","0.0028"
"","9.2000","0.9152","0.0029"
"","9.3000","0.9251","0.0030"
"","9.4000","0.9351","0.0031"
"","9.5000","0.9452","0.0033"
"","9.6000","0.9552","0.0034"
"","9.7000","0.9648","0.0035"
"","9.8000","0.9752","0.0036"
"","9.9000","0.9852","0.0037"
"","10.0000","0.9951","0.0039"
"","10.1000","1.0050","0.0040"
"","10.2000","1.0153","0.0042"
"","10.3000","1.0252","0.0043"
"","10.4000","1.0349","0.0045"
"","10.5000","1.0452","0.0047"
"","10.6000","1.0552","0.0048"
"","10.7000","1.0651","0.0050"
"","10.8000","1.0749","0.0052"
"","10.9000","1.0852","0.0054"
